gene_id,gene_name,gene_index
ENSG00000271398,RP5-1092A3.5,107
ENSG00000130766,SESN2,108
ENSG00000116329,OPRD1,109
ENSG00000233427,RP1-212P9.3,110
ENSG00000162511,LAPTM5,111
ENSG00000121769,FABP3,112
ENSG00000223907,LINC01226,113
ENSG00000235790,RP11-73M7.6,114
ENSG00000134668,SPOCD1,115
ENSG00000224066,RP4-622L5.7,116
ENSG00000222046,DCDC2B,117
ENSG00000183615,FAM167B,118
ENSG00000182866,LCK,119
ENSG00000175130,MARCKSL1,120
ENSG00000162526,TSSK3,121
ENSG00000160058,BSDC1,122
ENSG00000224409,RP11-114B7.6,123
ENSG00000121900,TMEM54,124
ENSG00000255811,RP1-34M23.5,125
ENSG00000271741,RP11-244H3.4,126
ENSG00000126067,PSMB2,127
ENSG00000092853,CLSPN,128
ENSG00000232335,RP11-435D7.3,129
ENSG00000116871,MAP7D1,130
ENSG00000214193,SH3D21,131
ENSG00000119535,CSF3R,132
ENSG00000233621,LINC01137,133
ENSG00000134690,CDCA8,134
ENSG00000158315,RHBDL2,135
ENSG00000127603,MACF1,136
ENSG00000226438,RP11-420K8.1,137
ENSG00000183682,BMP8A,138
ENSG00000168389,MFSD2A,139
ENSG00000131236,CAP1,140
ENSG00000049089,COL9A2,141
ENSG00000179862,CITED4,142
ENSG00000229528,RP5-1066H13.4,143
ENSG00000171790,SLFNL1,144
ENSG00000044012,GUCA2B,145
ENSG00000197273,GUCA2A,146
ENSG00000066185,ZMYND12,147
ENSG00000127125,PPCS,148
ENSG00000186409,CCDC30,149
ENSG00000065978,YBX1,150
ENSG00000164007,CLDN19,151
ENSG00000117394,SLC2A1,152
ENSG00000227533,SLC2A1-AS1,153
ENSG00000186973,FAM183A,154
ENSG00000243710,CFAP57,155
ENSG00000179178,TMEM125,156
ENSG00000253313,C1orf210,157
ENSG00000117399,CDC20,158
ENSG00000229444,RP11-184I16.4,159
ENSG00000117410,ATP6V0B,160
ENSG00000196517,SLC6A9,161
ENSG00000198520,C1orf228,162
ENSG00000142945,KIF2C,163
ENSG00000222009,BTBD19,164
ENSG00000070759,TESK2,165
ENSG00000117450,PRDX1,166
ENSG00000226957,RP4-533D7.4,167
ENSG00000117480,FAAH,168
ENSG00000269956,MKNK1-AS1,169
ENSG00000186118,TEX38,170
ENSG00000162366,PDZK1IP1,171
ENSG00000123473,STIL,172
ENSG00000123080,CDKN2C,173
ENSG00000203356,LINC01562,174
ENSG00000261664,TTC39A-AS1,175
ENSG00000169213,RAB3B,176
ENSG00000223390,RP11-91A18.4,177
ENSG00000228369,TXNDC12-AS1,178
ENSG00000116157,GPX7,179
ENSG00000182183,FAM159A,180
ENSG00000226754,RP5-1024G6.5,181
ENSG00000230138,RP11-117D22.2,182
ENSG00000116209,TMEM59,183
ENSG00000225632,RP5-997D24.3,184
ENSG00000143001,TMEM61,185
ENSG00000162399,BSND,186
ENSG00000162407,PLPP3,187
ENSG00000177606,JUN,188
ENSG00000232453,RP4-794H19.1,189
ENSG00000237352,LINC01358,190
ENSG00000132849,INADL,191
ENSG00000132855,ANGPTL3,192
ENSG00000228734,RP11-335E6.3,193
ENSG00000079739,PGM1,194
ENSG00000118473,SGIP1,195
ENSG00000203963,C1orf141,196
ENSG00000116717,GADD45A,197
ENSG00000237919,RP11-181B18.1,198
ENSG00000229051,RP5-952N6.1,199
ENSG00000235782,RP3-333A15.1,200
ENSG00000259030,FPGT-TNNI3K,201
ENSG00000137968,SLC44A5,202
ENSG00000178193,RP4-682C21.5,203
ENSG00000057468,MSH4,204
ENSG00000233099,RP11-375A5.1,205
ENSG00000235927,NEXN-AS1,206
ENSG00000137960,GIPC2,207
ENSG00000137959,IFI44L,208
ENSG00000137941,TTLL7,209
ENSG00000137976,DNASE2B,210
ENSG00000171502,COL24A1,211
ENSG00000016490,CLCA1,212
ENSG00000267272,LINC01140,213
ENSG00000143013,LMO4,214
ENSG00000117226,GBP3,215
ENSG00000117228,GBP1,216
ENSG00000162645,GBP2,217
ENSG00000231999,FLJ27354,218
ENSG00000189195,BTBD8,219
ENSG00000069712,KIAA1107,220
ENSG00000198691,ABCA4,221
ENSG00000117525,F3,222
ENSG00000235501,RP4-639F20.1,223
ENSG00000156869,FRRS1,224
ENSG00000122477,LRRC39,225
ENSG00000181656,GPR88,226
ENSG00000170989,S1PR1,227
ENSG00000260879,RP11-483I13.5,228
ENSG00000238122,RP11-483I13.2,229
ENSG00000143107,FNDC7,230
ENSG00000203897,SPATA42,231
ENSG00000273382,RP5-1065J22.8,232
ENSG00000270066,SCARNA2,233
ENSG00000179902,C1orf194,234
ENSG00000221986,MYBPHL,235
ENSG00000156097,GPR61,236
ENSG00000213366,GSTM2,237
ENSG00000134202,GSTM3,238
ENSG00000198758,EPS8L3,239
ENSG00000261055,RP11-195M16.3,240
ENSG00000143125,PROK1,241
ENSG00000143119,CD53,242
ENSG00000232811,RP11-96K19.2,243
ENSG00000064886,CHI3L2,244
ENSG00000143110,C1orf162,245
ENSG00000121933,TMIGD3,246
ENSG00000282608,ADORA3,247
ENSG00000197852,FAM212B,248
ENSG00000116489,CAPZA1,249
ENSG00000155366,RHOC,250
ENSG00000215866,LINC01356,251
ENSG00000134242,PTPN22,252
ENSG00000235527,HIPK1-AS1,253
ENSG00000116774,OLFML3,254
ENSG00000233154,RP4-655J12.4,255
ENSG00000224950,RP5-1086K13.1,256
ENSG00000116824,CD2,257
ENSG00000134256,CD101,258
ENSG00000236866,AL157902.3,259
ENSG00000183508,FAM46C,260
ENSG00000155761,SPAG17,261
ENSG00000092621,PHGDH,262
ENSG00000198019,FCGR1B,263
ENSG00000233029,RP11-439A17.9,264
ENSG00000230806,SRGAP2-AS1,265
ENSG00000263590,RP11-403I13.7,266
ENSG00000234571,RP5-998N21.4,267
ENSG00000277199,CH17-125A10.2,268
ENSG00000236140,RP11-89F3.2,269
ENSG00000174827,PDZK1,270
ENSG00000117281,CD160,271
ENSG00000198483,ANKRD35,272
ENSG00000121851,POLR3GL,273
ENSG00000265972,TXNIP,274
ENSG00000168509,HFE2,275
ENSG00000276509,CH17-353B19.1,276
ENSG00000131781,FMO5,277
ENSG00000227733,RP4-565E6.1,278
ENSG00000234283,RP11-495P10.6,279
ENSG00000231551,RP11-495P10.1,280
ENSG00000280649,AC245100.1,281
ENSG00000236334,PPIAL4G,282
ENSG00000178104,PDE4DIP,283
ENSG00000274265,CH17-189H20.1,284
ENSG00000150337,FCGR1A,285
ENSG00000233030,RP11-196G18.3,286
ENSG00000184260,HIST2H2AC,287
ENSG00000014914,MTMR11,288
ENSG00000023902,PLEKHO1,289
ENSG00000143401,ANP32E,290
ENSG00000276110,RP4-790G17.7,291
ENSG00000143369,ECM1,292
ENSG00000143382,ADAMTSL4,293
ENSG00000163131,CTSS,294
ENSG00000143387,CTSK,295
ENSG00000143409,FAM63A,296
ENSG00000163141,BNIPL,297
ENSG00000143443,C1orf56,298
ENSG00000197622,CDC42SE1,299
ENSG00000213190,MLLT11,300
ENSG00000143458,GABPB2,301
ENSG00000163155,LYSMD1,302
ENSG00000224645,RP11-126K1.8,303
ENSG00000250734,RP11-404E16.1,304
ENSG00000159409,CELF3,305
ENSG00000178796,RIIAD1,306
ENSG00000225556,C2CD4D,307
ENSG00000197747,S100A10,308
ENSG00000163191,S100A11,309
ENSG00000163216,SPRR2D,310
ENSG00000244094,SPRR2F,311
ENSG00000203783,PRR9,312
ENSG00000203782,LOR,313
ENSG00000163218,PGLYRP4,314
ENSG00000163220,S100A9,315
ENSG00000143546,S100A8,316
ENSG00000184330,S100A7A,317
ENSG00000143556,S100A7,318
ENSG00000197956,S100A6,319
ENSG00000196420,S100A5,320
ENSG00000196154,S100A4,321
ENSG00000188015,S100A3,322
ENSG00000189171,S100A13,323
ENSG00000160678,S100A1,324
ENSG00000279767,AL513523.2,325
ENSG00000282386,RP11-422P24.12,326
ENSG00000160712,IL6R,327
ENSG00000169291,SHE,328
ENSG00000143603,KCNN3,329
ENSG00000163346,PBXIP1,330
ENSG00000173207,CKS1B,331
ENSG00000163357,DCST1,332
ENSG00000169231,THBS3,333
ENSG00000236263,RP11-263K19.6,334
ENSG00000132718,SYT11,335
ENSG00000143622,RIT1,336
ENSG00000116584,ARHGEF2,337
ENSG00000132698,RAB25,338
ENSG00000160789,LMNA,339
ENSG00000183856,IQGAP3,340
ENSG00000143320,CRABP2,341
ENSG00000027869,SH2D2A,342
ENSG00000198400,NTRK1,343
ENSG00000027644,INSRR,344
ENSG00000160838,LRRC71,345
ENSG00000229961,RP11-71G12.1,346
ENSG00000132704,FCRL2,347
ENSG00000176320,RP11-404O13.5,348
ENSG00000163563,MNDA,349
ENSG00000163565,IFI16,350
ENSG00000213088,ACKR1,351
ENSG00000188004,C1orf204,352
ENSG00000243284,VSIG8,353
ENSG00000132681,ATP1A4,354
ENSG00000143318,CASQ1,355
ENSG00000258465,RP11-574F21.3,356
ENSG00000162739,SLAMF6,357
ENSG00000066294,CD84,358
ENSG00000117090,SLAMF1,359
ENSG00000228863,RP11-404F10.2,360
ENSG00000117091,CD48,361
ENSG00000122224,LY9,362
ENSG00000122223,CD244,363
ENSG00000179914,ITLN1,364
ENSG00000232188,RP11-312J18.6,365
ENSG00000158764,ITLN2,366
ENSG00000186517,ARHGAP30,367
ENSG00000143217,PVRL4,368
ENSG00000228917,RP11-544M22.8,369
ENSG00000162755,KLHDC9,370
ENSG00000158793,NIT1,371
ENSG00000158859,ADAMTS4,372
ENSG00000158869,FCER1G,373
ENSG00000188931,CFAP126,374
ENSG00000143226,FCGR2A,375
ENSG00000173110,HSPA6,376
ENSG00000203747,FCGR3A,377
ENSG00000072694,FCGR2B,378
ENSG00000132185,FCRLA,379
ENSG00000198929,NOS1AP,380
ENSG00000227094,RP11-565P22.2,381
ENSG00000185860,CCDC190,382
ENSG00000185630,PBX1,383
ENSG00000233693,RP11-506O24.1,384
ENSG00000234142,RP11-276E17.2,385
ENSG00000143194,MAEL,386
ENSG00000143162,CREG1,387
ENSG00000198771,RCSD1,388
ENSG00000197965,MPZL1,389
ENSG00000143158,MPC2,390
ENSG00000143184,XCL1,391
ENSG00000235736,RP1-10C16.1,392
ENSG00000225826,LINC00626,393
ENSG00000143153,ATP1B1,394
ENSG00000010932,FMO1,395
ENSG00000117586,TNFSF4,396
ENSG00000224977,RP11-160H22.3,397
ENSG00000152061,RABGAP1L,398
ENSG00000203737,GPR52,399
ENSG00000116161,CACYBP,400
ENSG00000236021,RP11-195C7.1,401
ENSG00000116194,ANGPTL1,402
ENSG00000186283,TOR3A,403
ENSG00000143322,ABL2,404
ENSG00000229407,RP11-12M5.3,405
ENSG00000169905,TOR1AIP2,406
ENSG00000116260,QSOX1,407
ENSG00000153029,MR1,408
ENSG00000162783,IER5,409
ENSG00000198216,CACNA1E,410
ENSG00000121446,RGSL1,411
ENSG00000135828,RNASEL,412
ENSG00000143333,RGS16,413
ENSG00000135824,RGS8,414
ENSG00000116701,NCF2,415
ENSG00000162704,ARPC5,416
ENSG00000143344,RGL1,417
ENSG00000198756,COLGALT2,418
ENSG00000135842,FAM129A,419
ENSG00000261024,GS1-279B7.1,420
ENSG00000116703,PDC,421
ENSG00000273198,GS1-304P7.3,422
ENSG00000150681,RGS18,423
ENSG00000232498,RP5-1011O1.2,424
ENSG00000090104,RGS1,425
ENSG00000116741,RGS2,426
ENSG00000234871,LINC01032,427
ENSG00000227240,RP11-563D10.1,428
ENSG00000227421,RP11-476B1.1,429
ENSG00000162687,KCNT2,430
ENSG00000000971,CFH,431
ENSG00000116785,CFHR3,432
ENSG00000134389,CFHR5,433
ENSG00000143278,F13B,434
ENSG00000066279,ASPM,435
ENSG00000134376,CRB1,436
ENSG00000081237,PTPRC,437
ENSG00000203721,LINC00862,438
ENSG00000118193,KIF14,439
ENSG00000081248,CACNA1S,440
ENSG00000232237,ASCL5,441
ENSG00000118194,TNNT2,442
ENSG00000159173,TNNI1,443
ENSG00000174307,PHLDA3,444
ENSG00000163431,LMOD1,445
ENSG00000234678,RP11-465N4.4,446
ENSG00000163435,ELF3,447
ENSG00000143851,PTPN7,448
ENSG00000117139,KDM5B,449
ENSG00000260021,RP11-480I12.10,450
ENSG00000143847,PPFIA4,451
ENSG00000122180,MYOG,452
ENSG00000133063,CHIT1,453
ENSG00000231507,LINC01353,454
ENSG00000159388,BTG2,455
ENSG00000122176,FMOD,456
ENSG00000058668,ATP2B4,457
ENSG00000122188,LAX1,458
ENSG00000257315,ZBED6,459
ENSG00000261065,RP11-74C13.4,460
ENSG00000143839,REN,461
ENSG00000170498,KISS1,462
ENSG00000174567,GOLT1A,463
ENSG00000226330,RP11-739N20.2,464
ENSG00000198625,MDM4,465
ENSG00000240710,RP11-430C7.4,466
ENSG00000240219,RP11-430C7.5,467
ENSG00000163531,NFASC,468
ENSG00000184144,CNTN2,469
ENSG00000186007,LEMD1,470
ENSG00000117266,CDK18,471
ENSG00000158715,SLC45A3,472
ENSG00000069275,NUCKS1,473
ENSG00000276600,RAB7B,474
ENSG00000196188,CTSE,475
ENSG00000263961,C1orf186,476
ENSG00000226780,RP11-38J22.3,477
ENSG00000261000,RP11-534L20.5,478
ENSG00000162889,MAPKAPK2,479
ENSG00000142224,IL19,480
ENSG00000162891,IL20,481
ENSG00000162892,IL24,482
ENSG00000162894,FCMR,483
ENSG00000196352,CD55,484
ENSG00000203710,CR1,485
ENSG00000236911,RP11-78B10.2,486
ENSG00000117335,CD46,487
ENSG00000203709,C1orf132,488
ENSG00000076356,PLXNA2,489
ENSG00000009790,TRAF3IP3,490
ENSG00000143473,KCNH1,491
ENSG00000153363,LINC00467,492
ENSG00000229258,RP11-552D8.1,493
ENSG00000226251,RP11-15I11.3,494
ENSG00000117691,NENF,495
ENSG00000162772,ATF3,496
ENSG00000237980,RP11-338C15.3,497
ENSG00000123685,BATF3,498
ENSG00000143494,VASH2,499
ENSG00000117707,PROX1,500
ENSG00000152104,PTPN14,501
ENSG00000117724,CENPF,502
ENSG00000228063,LYPLAL1-AS1,503
ENSG00000117791,MARC2,504
ENSG00000186205,MARC1,505
ENSG00000272823,RP11-295M18.6,506
ENSG00000238078,LINC01352,507
ENSG00000136630,HLX,508
ENSG00000234754,C1orf140,509
ENSG00000143498,TAF1A,510
ENSG00000197520,FAM177B,511
ENSG00000242861,RP11-285F7.2,512
ENSG00000243709,LEFTY1,513
ENSG00000143768,LEFTY2,514
ENSG00000185155,MIXL1,515
ENSG00000143772,ITPKB,516
ENSG00000228548,ITPKB-AS1,517
ENSG00000185888,PRSS38,518
ENSG00000143816,WNT9A,519
ENSG00000270104,RP11-245P10.6,520
ENSG00000237481,RP4-803J11.2,521
ENSG00000177614,PGBD5,522
ENSG00000135773,CAPN9,523
ENSG00000182118,FAM89A,524
ENSG00000119283,TRIM67,525
ENSG00000143674,KIAA1804,526
ENSG00000183780,SLC35F3,527
ENSG00000168264,IRF2BP2,528
ENSG00000228044,RP4-781K5.4,529
ENSG00000230628,RP4-781K5.6,530
ENSG00000237520,RP11-443B7.2,531
ENSG00000280587,LINC01348,532
ENSG00000054267,ARID4B,533
ENSG00000086619,ERO1B,534
ENSG00000215808,LINC01139,535
ENSG00000259776,RP11-544D21.2,536
ENSG00000117009,KMO,537
ENSG00000054282,SDCCAG8,538
ENSG00000117020,AKT3,539
ENSG00000179456,ZBTB18,540
ENSG00000185420,SMYD3,541
ENSG00000235096,RP11-83A16.1,542
ENSG00000235749,RP11-634B7.4,543
ENSG00000196071,OR2L13,544
ENSG00000203663,OR2L2,545
ENSG00000196944,OR2T4,546
ENSG00000233296,AC092159.2,547
ENSG00000272342,RP13-539J13.1,548
ENSG00000235078,AC142528.1,549
ENSG00000151360,ALLC,550
ENSG00000231532,LINC01249,551
ENSG00000205837,LINC00487,552
ENSG00000134321,RSAD2,553
ENSG00000231083,AC011747.6,554
ENSG00000235092,ID2-AS1,555
ENSG00000115738,ID2,556
ENSG00000143797,MBOAT2,557
ENSG00000151693,ASAP2,558
ENSG00000134330,IAH1,559
ENSG00000151694,ADAM17,560
ENSG00000240687,RP11-521D12.1,561
ENSG00000134317,GRHL1,562
ENSG00000171848,RRM2,563
ENSG00000115758,ODC1,564
ENSG00000243819,RN7SL832P,565
ENSG00000224184,MIR3681HG,566
ENSG00000223850,MYCNUT,567
ENSG00000197872,FAM49A,568
ENSG00000236204,LINC01376,569
ENSG00000219626,FAM228B,570
ENSG00000157856,DRC1,571
ENSG00000115155,OTOF,572
ENSG00000171303,KCNK3,573
ENSG00000115163,CENPA,574
ENSG00000084764,MAPRE3,575
ENSG00000231636,AGBL5-AS1,576
ENSG00000143994,ABHD1,577
ENSG00000163792,TCF23,578
ENSG00000163793,DNAJC5G,579
ENSG00000157992,KRTCAP3,580
ENSG00000075426,FOSL2,581
ENSG00000270210,RP11-373D23.3,582
ENSG00000163803,PLB1,583
ENSG00000213639,PPP1CB,584
ENSG00000163811,WDR43,585
ENSG00000233862,AC016907.3,586
ENSG00000119801,YPEL5,587
ENSG00000213626,LBH,588
ENSG00000158125,XDH,589
ENSG00000091106,NLRC4,590
ENSG00000152689,RASGRP3,591
ENSG00000237133,AC020594.5,592
ENSG00000228262,LINC01320,593
ENSG00000150938,CRIM1,594
ENSG00000115828,QPCT,595
ENSG00000163171,CDC42EP3,596
ENSG00000235848,RMDN2-AS1,597
ENSG00000138061,CYP1B1,598
ENSG00000232973,CYP1B1-AS1,599
ENSG00000214694,ARHGEF33,600
ENSG00000011566,MAP4K3,601
ENSG00000231312,AC007246.3,602
ENSG00000152154,TMEM178A,603
ENSG00000183023,SLC8A1,604
ENSG00000234362,AC104654.2,605
ENSG00000205086,C2orf91,606
ENSG00000162878,PKDCC,607
ENSG00000162881,OXER1,608
ENSG00000162882,HAAO,609
ENSG00000231826,AC016735.2,610
ENSG00000230587,AC093609.1,611
ENSG00000152518,ZFP36L2,612
ENSG00000152527,PLEKHH2,613
ENSG00000138079,SLC3A1,614
ENSG00000236502,SIX3-AS1,615
ENSG00000225156,AC012354.6,616
ENSG00000116016,EPAS1,617
ENSG00000187600,TMEM247,618
ENSG00000260977,RP11-333I13.1,619
ENSG00000222005,LINC01118,620
ENSG00000273269,RP11-761B3.1,621
ENSG00000143933,CALM2,622
ENSG00000236824,BCYRN1,623
ENSG00000230773,AC079807.4,624
ENSG00000282828,RP11-443F4.1,625
ENSG00000272156,RP11-477N3.1,626
ENSG00000234943,AC092839.4,627
ENSG00000214595,EML6,628
ENSG00000115310,RTN4,629
ENSG00000272180,RP11-481J13.1,630
ENSG00000222030,AC007131.1,631
ENSG00000270820,RP11-355B11.2,632
ENSG00000226622,AC092155.4,633
ENSG00000231609,AC009501.4,634
ENSG00000169764,UGP2,635
ENSG00000225889,AC074289.1,636
ENSG00000119862,LGALSL,637
ENSG00000260101,RP11-568N6.1,638
ENSG00000234572,AC007880.1,639
ENSG00000143995,MEIS1,640
ENSG00000230749,MEIS1-AS2,641
ENSG00000232046,AC007392.3,642
ENSG00000236780,AC078941.1,643
ENSG00000115956,PLEK,644
ENSG00000163219,ARHGAP25,645
ENSG00000163217,BMP10,646
ENSG00000183607,GKN2,647
ENSG00000115977,AAK1,648
ENSG00000231024,AC092431.3,649
ENSG00000059728,MXD1,650
ENSG00000116039,ATP6V1B1,651
ENSG00000124357,NAGK,652
ENSG00000272735,RP11-467P9.1,653
ENSG00000187833,C2orf78,654
ENSG00000235499,AC073046.25,655
ENSG00000144045,DQX1,656
ENSG00000159374,M1AP,657
ENSG00000159399,HK2,658
ENSG00000270571,RP11-355F16.1,659
ENSG00000115363,EVA1A,660
ENSG00000176204,LRRTM4,661
ENSG00000066032,CTNNA2,662
ENSG00000034510,TMSB10,663
ENSG00000042493,CAPG,664
ENSG00000118640,VAMP8,665
ENSG00000168899,VAMP5,666
ENSG00000115525,ST3GAL5,667
ENSG00000232504,ST3GAL5-AS1,668
ENSG00000272564,RP11-548P2.2,669
ENSG00000068615,REEP1,670
ENSG00000273445,RP11-1399P15.1,671
ENSG00000172086,KRCC1,672
ENSG00000211592,IGKC,673
ENSG00000233757,AC092835.2,674
ENSG00000274286,ADRA2B,675
ENSG00000158158,CNNM4,676
ENSG00000273265,RP11-353K11.1,677
ENSG00000168754,FAM178B,678
ENSG00000168658,VWA3B,679
ENSG00000196872,KIAA1211L,680
ENSG00000185674,LYG2,681
ENSG00000230393,AC092667.2,682
ENSG00000196460,RFX8,683
ENSG00000281162,LINC01127,684
ENSG00000115590,IL1R2,685
ENSG00000224850,AC108051.3,686
ENSG00000224509,AC010884.1,687
ENSG00000233339,AC018878.3,688
ENSG00000232001,AC108868.6,689
ENSG00000144057,ST6GAL2,690
ENSG00000198203,SULT1C2,691
ENSG00000198075,SULT1C4,692
ENSG00000169756,LIMS1,693
ENSG00000282033,RP11-506F3.1,694
ENSG00000015568,RGPD5,695
ENSG00000256977,LIMS3,696
ENSG00000144061,NPHP1,697
ENSG00000261760,RP11-1223D19.1,698
ENSG00000153094,BCL2L11,699
ENSG00000225744,AC017002.4,700
ENSG00000188177,ZC3H6,701
ENSG00000169629,RGPD8,702
ENSG00000228251,AC012442.6,703
ENSG00000144136,SLC20A1,704
ENSG00000125538,IL1B,705
ENSG00000136689,IL1RN,706
ENSG00000234997,AC016745.3,707
ENSG00000272563,RP11-480C16.1,708
ENSG00000227359,AC017074.2,709
ENSG00000244063,AC024704.2,710
ENSG00000228857,AC104653.1,711
ENSG00000259094,RP11-77A13.1,712
ENSG00000229867,STEAP3-AS1,713
ENSG00000155368,DBI,714
ENSG00000080293,SCTR,715
ENSG00000074047,GLI2,716
ENSG00000265451,RP11-204L24.2,717
ENSG00000224655,AC018737.3,718
ENSG00000136732,GYPC,719
ENSG00000186684,CYP27C1,720
ENSG00000115718,PROC,721
ENSG00000272789,RP11-286H15.1,722
ENSG00000152076,CCDC74B,723
ENSG00000178171,AMER3,724
ENSG00000183840,GPR39,725
ENSG00000226806,AC011893.3,726
ENSG00000121966,CXCR4,727
ENSG00000144229,THSD7B,728
ENSG00000150540,HNMT,729
ENSG00000115919,KYNU,730
ENSG00000169554,ZEB2,731
ENSG00000226674,TEX41,732
ENSG00000168280,KIF5C,733
ENSG00000231969,AC144449.1,734
ENSG00000123610,TNFAIP6,735
ENSG00000183091,NEB,736
ENSG00000162989,KCNJ3,737
ENSG00000226383,AC093375.1,738
ENSG00000153234,NR4A2,739
ENSG00000136541,ERMN,740
ENSG00000115165,CYTIP,741
ENSG00000271320,RP11-1152H14.1,742
ENSG00000153237,CCDC148,743
ENSG00000123636,BAZ2B,744
ENSG00000224152,AC009506.1,745
ENSG00000115271,GCA,746
ENSG00000184611,KCNH7,747
ENSG00000115339,GALNT3,748
ENSG00000169432,SCN9A,749
ENSG00000235335,AC016723.4,750
ENSG00000152253,SPC25,751
ENSG00000073734,ABCB11,752
ENSG00000073737,DHRS9,753
ENSG00000235321,AC007556.3,754
ENSG00000154479,CCDC173,755
ENSG00000231898,AC012594.1,756
ENSG00000213981,AC007277.3,757
ENSG00000222033,LINC01124,758
ENSG00000128683,GAD1,759
ENSG00000071967,CYBRD1,760
ENSG00000115844,DLX2,761
ENSG00000232788,AC078883.3,762
ENSG00000224638,AC106900.6,763
ENSG00000271151,RP11-394I13.2,764
ENSG00000231453,LINC01305,765
ENSG00000115935,WIPF1,766
ENSG00000128645,HOXD1,767
ENSG00000116044,NFE2L2,768
ENSG00000237655,AC073834.3,769
ENSG00000128655,PDE11A,770
ENSG00000229941,AC012499.1,771
ENSG00000271011,RP11-171I2.5,772
ENSG00000163492,CCDC141,773
ENSG00000115232,ITGA4,774
ENSG00000162992,NEUROD1,775
ENSG00000162998,FRZB,776
ENSG00000188738,FSIP2,777
ENSG00000231646,FSIP2-AS1,778
ENSG00000237877,LINC01473,779
ENSG00000144369,FAM171B,780
ENSG00000003436,TFPI,781
