target_gene,gene_id,gene_index,effect,conditional_cell_sampling_se,ci95_low,ci95_high,positive_lane_fraction,same_sign_lane_fraction,sign,minimum_lane_n,se_undefined_lane_n_lt_2,significance,interpretation
KIF2C,ENSG00000142945,163,0.8698771754071836,0.032525155137328246,0.8061278713380202,0.9336264794763469,1.0,1.0,positive,55,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
KLF1,ENSG00000105610,4588,0.923611477879467,0.015937901170947576,0.8923731915844098,0.9548497641745242,1.0,1.0,positive,187,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
KMT2A,ENSG00000118058,2837,0.621208658435473,0.04373108483650932,0.5354957321559147,0.7069215847150313,1.0,1.0,positive,18,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
LHX1,ENSG00000273706,4115,2.0622860500280615,0.039687528560047154,1.9844984940503692,2.140073606005754,1.0,1.0,positive,33,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
LYL1,ENSG00000104903,4592,1.2642446804629786,0.03106178398914276,1.2033635838442587,1.3251257770816984,1.0,1.0,positive,34,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
MAML2,ENSG00000184384,2806,0.17942314283029465,0.015117235004849244,0.14979336222079012,0.20905292343979917,1.0,1.0,positive,48,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
MAP2K3,ENSG00000034152,4065,0.5151432706921286,0.023795312210829207,0.4685044587589034,0.5617820826253539,1.0,1.0,positive,48,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
MAP2K6,ENSG00000108984,4259,0.06485886320959514,0.00739020499006123,0.05037406142907513,0.07934366499011515,1.0,1.0,positive,70,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
MAP4K3,ENSG00000011566,601,0.095836001394495,0.020213053607758644,0.056218416323288056,0.13545358646570194,1.0,1.0,positive,25,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
MAP4K5,ENSG00000012983,3493,0.061984286440916886,0.019816582634338276,0.023143784477613866,0.1008247884042199,0.875,0.875,positive,25,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
MAP7D1,ENSG00000116871,130,1.0648255036545615,0.024020021268778717,1.0177462619677553,1.1119047453413677,1.0,1.0,positive,59,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
MAPK1,ENSG00000100030,4851,0.5760298010441292,0.02214502511452567,0.5326255518196589,0.6194340502685994,1.0,1.0,positive,72,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
MEIS1,ENSG00000143995,640,0.07590531532467698,0.010115793441961639,0.056078360178432166,0.0957322704709218,1.0,1.0,positive,75,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
MIDN,ENSG00000167470,4514,0.5138374452093399,0.05079320765334863,0.41428275820877664,0.6133921322099033,1.0,1.0,positive,23,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
NCL,ENSG00000115053,851,0.659882340107697,0.03456272610348209,0.592139396944872,0.7276252832705219,1.0,1.0,positive,18,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
NIT1,ENSG00000158793,371,0.12475254211763226,0.03167953080444262,0.06266066174092472,0.1868444224943398,1.0,1.0,positive,15,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
OSR2,ENSG00000164920,2355,0.6718188562569531,0.020269042537055363,0.6320915328843246,0.7115461796295817,1.0,1.0,positive,92,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
PLK4,ENSG00000142731,1275,0.04045592422708103,0.03535972626166675,-0.028849139245785797,0.10976098769994785,0.5,0.5,positive,9,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
POU3F2,ENSG00000184486,1774,0.7800950067098336,0.03554200071032993,0.7104326853175869,0.8497573281020803,1.0,1.0,positive,33,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
PRDM1,ENSG00000057657,1779,0.3073017896080738,0.03110771079356075,0.24633067645269474,0.36827290276345287,1.0,1.0,positive,22,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
PRTG,ENSG00000166450,3662,0.5313741443756135,0.022603261622383106,0.48707175159574256,0.5756765371554844,1.0,1.0,positive,49,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
PTPN1,ENSG00000196396,4465,0.3105376090901856,0.03222266148226756,0.24738119258494118,0.37369402559542997,1.0,1.0,positive,30,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
PTPN12,ENSG00000127947,1934,0.4708161906521082,0.030635315151360188,0.41077097295544224,0.5308614083487742,1.0,1.0,positive,37,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
PTPN13,ENSG00000163629,1231,0.12030170487747602,0.01965108116653556,0.08178558579106632,0.15881782396388572,1.0,1.0,positive,19,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
PTPN9,ENSG00000169410,3700,0.4362859488076503,0.027249350688140807,0.38287722145889436,0.48969467615640627,1.0,1.0,positive,40,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
RHOXF2BB,ENSG00000203989,2183,0.0682786850078322,0.016433017651162715,0.03606997041155328,0.10048739960411113,1.0,1.0,positive,28,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
RREB1,ENSG00000124782,1594,0.17343870313660006,0.03015462985055484,0.11433562862951258,0.23254177764368755,0.875,0.875,positive,27,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
RUNX1T1,ENSG00000079102,2345,0.4334970463524403,0.018524678940361042,0.39718867562933263,0.46980541707554796,1.0,1.0,positive,67,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
S1PR2,ENSG00000267534,4569,0.14583884374672917,0.016963864250166084,0.11258966981640364,0.1790880176770547,1.0,1.0,positive,43,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
SAMD1,ENSG00000141858,4599,0.3072267517793238,0.03130079550774972,0.24587719258413435,0.36857631097451327,1.0,1.0,positive,46,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
SET,ENSG00000119335,2544,0.5043928648470265,0.01537907344218775,0.4742498809003385,0.5345358487937145,1.0,1.0,positive,88,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
SGK1,ENSG00000118515,1814,0.6367130434426927,0.02937795857450964,0.5791322446366538,0.6942938422487317,1.0,1.0,positive,44,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
SLC38A2,ENSG00000134294,3142,0.3399986626200197,0.03363856866910872,0.2740670680285666,0.4059302572114728,1.0,1.0,positive,24,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
SLC4A1,ENSG00000004939,4161,0.4309242256954563,0.02075374048430273,0.39024689434622295,0.47160155704468965,1.0,1.0,positive,91,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
SLC6A9,ENSG00000196517,161,0.43293210474747806,0.02334449134320864,0.38717690171478913,0.478687307780167,1.0,1.0,positive,33,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
SNAI1,ENSG00000124216,4461,0.13688590411734608,0.01889175676081484,0.09985806086614898,0.17391374736854318,1.0,1.0,positive,34,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
SPI1,ENSG00000066336,2682,0.6626236711833303,0.03128552219938249,0.6013040476725406,0.72394329469412,1.0,1.0,positive,41,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
STIL,ENSG00000123473,172,0.2000953818452195,0.028132002462631554,0.14495665701846167,0.2552341066719773,1.0,1.0,positive,25,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
TBX2,ENSG00000121068,4229,0.4331327669789379,0.020417590765804645,0.39311428907796075,0.473151244879915,1.0,1.0,positive,60,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
TBX3,ENSG00000135111,3302,0.2535681220137904,0.016959061271060418,0.220328361922512,0.28680788210506886,1.0,1.0,positive,56,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
TGFBR2,ENSG00000163513,903,0.22323830106138196,0.016010696751061853,0.19185733542930072,0.2546192666934632,1.0,1.0,positive,57,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
TMSB4X,ENSG00000205542,2084,2.110431505936135,0.025736851839841472,2.0599872763300455,2.1608757355422243,1.0,1.0,positive,45,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
TP73,ENSG00000078900,24,0.17088684271025248,0.028915510784222036,0.11421244157317728,0.22756124384732768,1.0,1.0,positive,20,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
TSC22D1,ENSG00000102804,3385,0.9523073322029697,0.030958435063327273,0.8916287994788482,1.012985864927091,1.0,1.0,positive,39,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
UBASH3A,ENSG00000160185,5002,0.13710949044536447,0.012423304284939827,0.1127598140468824,0.16145916684384654,1.0,1.0,positive,76,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
UBASH3B,ENSG00000154127,2848,0.4025143149739865,0.016113771628644386,0.37093132258184347,0.4340973073661295,1.0,1.0,positive,91,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
ZBTB1,ENSG00000126804,3521,0.02195728599411493,0.008534853173792547,0.005228973773481537,0.03868559821474832,0.875,0.875,positive,64,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
ZBTB10,ENSG00000205189,2331,0.19573661020813646,0.04239241136883561,0.11264748392521866,0.27882573649105424,1.0,1.0,positive,15,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
ZBTB25,ENSG00000089775,3520,0.0017427449372797777,0.006154482274570224,-0.010320040320877862,0.013805530195437416,0.5,0.5,positive,60,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
ZC3HAV1,ENSG00000105939,2028,0.7861260528311943,0.027934853729056103,0.7313737395222444,0.8408783661401442,1.0,1.0,positive,36,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
ZNF318,ENSG00000171467,1718,0.212853812390287,0.01821917039167398,0.17714423842260602,0.24856338635796799,1.0,1.0,positive,54,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
